gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,pred_prob,tenure_bucket,RiskTier,RetentionAction,OfferGiven,Retained_After_Offer,Updated_Churn_Label,Scaled_Action
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0.2618625804781914,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,0.5849618911743164,25-48,Medium,Send a satisfaction survey with a targeted offer.,No,Yes,0,Send a satisfaction survey with a targeted offer.
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,0.6020461440086364,0-6,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0.011012250557541847,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,0.41353641748428344,13-24,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0.023482580855488776,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0.5437132894992829,0-6,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,0.09662369713187217,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0.32900470197200776,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0.44417176246643064,0-6,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0.018992505595088006,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0.5309542536735534,0-6,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0.21580781638622284,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,0.5878630757331849,25-48,Medium,Send a satisfaction survey with a targeted offer.,No,Yes,0,Send a satisfaction survey with a targeted offer.
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0.9020375490188599,7-12,High,Offer 15% discount for switching to a 1-year plan. || Offer a 10% bill reduction for the next 3 months.,No,No,1,Offer 15% discount for switching to a 1-year plan. || Offer a 10% bill reduction for the next 3 months.
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0.09076413810253144,7-12,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0.04579354971647263,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0.04904720485210419,13-24,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0.019827756844460965,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,0.2511643528938293,13-24,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0.49570717215538024,49-72,Medium,Send a satisfaction survey with a targeted offer.,No,Yes,0,Send a satisfaction survey with a targeted offer.
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0.34547282457351686,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0.6679473876953125,0-6,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0.04345772247761488,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0.017131074517965316,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0.30506456792354586,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,0.5725265324115754,13-24,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0.1847094863653183,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0.6335634589195251,7-12,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0.044296959042549135,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,0.5987156569957733,13-24,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0.2626486778259277,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0.24916569292545318,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0.011012250557541847,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0.061568553745746615,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0.3814854621887207,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0.2393391966819763,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0.011012250557541847,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,0.13778679966926574,13-24,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,0.7439545631408692,7-12,High,"Offer 15% discount for switching to a 1-year plan. || Incentivize AutoPay (e.g., $5 credit).",No,No,1,Offer 15% discount for switching to a 1-year plan. || Offer a 10% bill reduction for the next 3 months.
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0.2639449506998062,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0.2263350784778595,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,0.032541689649224284,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0.004925294220447541,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0.33312065005302427,7-12,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0.24622634649276734,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0.03508446030318737,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0.11357036828994752,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0.007803694531321526,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0.22696810364723205,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,0.28023979961872103,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0.1387451946735382,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0.14389811158180238,7-12,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0.24120742976665496,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0.03768185004591942,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0.927866542339325,0-6,High,"Offer 15% discount for switching to a 1-year plan. || Incentivize AutoPay (e.g., $5 credit).",No,No,1,Offer 15% discount for switching to a 1-year plan. || Offer a 10% bill reduction for the next 3 months.
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0.23951781690120696,7-12,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0.5540679931640625,7-12,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0.30872479677200315,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0.011012250557541847,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0.6384801924228668,7-12,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0.08150487840175628,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0.015890623815357684,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0.004925294220447541,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0.19716990292072295,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0.2263350784778595,25-48,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0.30506456792354586,0-6,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0.030274442583322524,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0.1169318214058876,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0.07245913092046977,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,0.46152632832527163,7-12,Medium,Recommend a value bundle or a free trial of a new service.,No,Yes,0,Recommend a value bundle or a free trial of a new service.
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,0.011012250557541847,49-72,Low,Maintain engagement via loyalty communications and newsletters.,No,Yes,0,Maintain engagement via loyalty communications and newsletters.
